State code,State name,Month,Year,Number of fires
BR-AC,Acre,1,2006,4
BR-AC,Acre,2,2006,0
BR-AC,Acre,3,2006,0
BR-AC,Acre,4,2006,0
BR-AC,Acre,5,2006,8
BR-AC,Acre,6,2006,1
BR-AC,Acre,7,2006,33
BR-AC,Acre,8,2006,839
BR-AC,Acre,9,2006,237
BR-AC,Acre,10,2006,316
BR-AC,Acre,11,2006,18
BR-AC,Acre,12,2006,0
BR-AL,Alagoas,1,2006,29
BR-AL,Alagoas,2,2006,14
BR-AL,Alagoas,3,2006,37
BR-AL,Alagoas,4,2006,2
BR-AL,Alagoas,5,2006,0
BR-AL,Alagoas,6,2006,0
BR-AL,Alagoas,7,2006,0
BR-AL,Alagoas,8,2006,1
BR-AL,Alagoas,9,2006,4
BR-AL,Alagoas,10,2006,32
BR-AL,Alagoas,11,2006,12
BR-AL,Alagoas,12,2006,30
BR-AP,Amapa,1,2006,6
BR-AP,Amapa,2,2006,2
BR-AP,Amapa,3,2006,0
BR-AP,Amapa,4,2006,0
BR-AP,Amapa,5,2006,0
BR-AP,Amapa,6,2006,0
BR-AP,Amapa,7,2006,0
BR-AP,Amapa,8,2006,11
BR-AP,Amapa,9,2006,112
BR-AP,Amapa,10,2006,405
BR-AP,Amapa,11,2006,207
BR-AP,Amapa,12,2006,74
BR-AM,Amazonas,1,2006,20
BR-AM,Amazonas,2,2006,10
BR-AM,Amazonas,3,2006,20
BR-AM,Amazonas,4,2006,5
BR-AM,Amazonas,5,2006,4
BR-AM,Amazonas,6,2006,9
BR-AM,Amazonas,7,2006,123
BR-AM,Amazonas,8,2006,1422
BR-AM,Amazonas,9,2006,2218
BR-AM,Amazonas,10,2006,721
BR-AM,Amazonas,11,2006,59
BR-AM,Amazonas,12,2006,23
BR-BA,Bahia,1,2006,225
BR-BA,Bahia,2,2006,277
BR-BA,Bahia,3,2006,199
BR-BA,Bahia,4,2006,60
BR-BA,Bahia,5,2006,43
BR-BA,Bahia,6,2006,68
BR-BA,Bahia,7,2006,229
BR-BA,Bahia,8,2006,995
BR-BA,Bahia,9,2006,3006
BR-BA,Bahia,10,2006,2079
BR-BA,Bahia,11,2006,239
BR-BA,Bahia,12,2006,169
BR-CE,Ceara,1,2006,211
BR-CE,Ceara,2,2006,23
BR-CE,Ceara,3,2006,3
BR-CE,Ceara,4,2006,1
BR-CE,Ceara,5,2006,0
BR-CE,Ceara,6,2006,0
BR-CE,Ceara,7,2006,1
BR-CE,Ceara,8,2006,50
BR-CE,Ceara,9,2006,237
BR-CE,Ceara,10,2006,581
BR-CE,Ceara,11,2006,1012
BR-CE,Ceara,12,2006,1161
BR-DF,Distrito Federal,1,2006,0
BR-DF,Distrito Federal,2,2006,0
BR-DF,Distrito Federal,3,2006,0
BR-DF,Distrito Federal,4,2006,0
BR-DF,Distrito Federal,5,2006,3
BR-DF,Distrito Federal,6,2006,2
BR-DF,Distrito Federal,7,2006,10
BR-DF,Distrito Federal,8,2006,40
BR-DF,Distrito Federal,9,2006,20
BR-DF,Distrito Federal,10,2006,1
BR-DF,Distrito Federal,11,2006,0
BR-DF,Distrito Federal,12,2006,0
BR-ES,Espirito Santo,1,2006,13
BR-ES,Espirito Santo,2,2006,45
BR-ES,Espirito Santo,3,2006,14
BR-ES,Espirito Santo,4,2006,1
BR-ES,Espirito Santo,5,2006,0
BR-ES,Espirito Santo,6,2006,5
BR-ES,Espirito Santo,7,2006,11
BR-ES,Espirito Santo,8,2006,29
BR-ES,Espirito Santo,9,2006,87
BR-ES,Espirito Santo,10,2006,10
BR-ES,Espirito Santo,11,2006,0
BR-ES,Espirito Santo,12,2006,0
BR-GO,Goias,1,2006,85
BR-GO,Goias,2,2006,21
BR-GO,Goias,3,2006,29
BR-GO,Goias,4,2006,22
BR-GO,Goias,5,2006,33
BR-GO,Goias,6,2006,70
BR-GO,Goias,7,2006,169
BR-GO,Goias,8,2006,588
BR-GO,Goias,9,2006,1463
BR-GO,Goias,10,2006,178
BR-GO,Goias,11,2006,91
BR-GO,Goias,12,2006,7
BR-MA,Maranhao,1,2006,221
BR-MA,Maranhao,2,2006,22
BR-MA,Maranhao,3,2006,14
BR-MA,Maranhao,4,2006,9
BR-MA,Maranhao,5,2006,5
BR-MA,Maranhao,6,2006,131
BR-MA,Maranhao,7,2006,512
BR-MA,Maranhao,8,2006,1382
BR-MA,Maranhao,9,2006,2907
BR-MA,Maranhao,10,2006,3024
BR-MA,Maranhao,11,2006,2004
BR-MA,Maranhao,12,2006,1052
BR-MT,Mato Grosso,1,2006,947
BR-MT,Mato Grosso,2,2006,383
BR-MT,Mato Grosso,3,2006,448
BR-MT,Mato Grosso,4,2006,161
BR-MT,Mato Grosso,5,2006,269
BR-MT,Mato Grosso,6,2006,856
BR-MT,Mato Grosso,7,2006,1941
BR-MT,Mato Grosso,8,2006,6218
BR-MT,Mato Grosso,9,2006,12661
BR-MT,Mato Grosso,10,2006,2327
BR-MT,Mato Grosso,11,2006,1031
BR-MT,Mato Grosso,12,2006,23
BR-MS,Mato Grosso do Sul,1,2006,59
BR-MS,Mato Grosso do Sul,2,2006,104
BR-MS,Mato Grosso do Sul,3,2006,137
BR-MS,Mato Grosso do Sul,4,2006,51
BR-MS,Mato Grosso do Sul,5,2006,99
BR-MS,Mato Grosso do Sul,6,2006,89
BR-MS,Mato Grosso do Sul,7,2006,289
BR-MS,Mato Grosso do Sul,8,2006,1129
BR-MS,Mato Grosso do Sul,9,2006,1078
BR-MS,Mato Grosso do Sul,10,2006,244
BR-MS,Mato Grosso do Sul,11,2006,83
BR-MS,Mato Grosso do Sul,12,2006,18
BR-MG,Minas Gerais,1,2006,109
BR-MG,Minas Gerais,2,2006,96
BR-MG,Minas Gerais,3,2006,69
BR-MG,Minas Gerais,4,2006,50
BR-MG,Minas Gerais,5,2006,62
BR-MG,Minas Gerais,6,2006,73
BR-MG,Minas Gerais,7,2006,336
BR-MG,Minas Gerais,8,2006,959
BR-MG,Minas Gerais,9,2006,278
BR-MG,Minas Gerais,10,2006,616
BR-MG,Minas Gerais,11,2006,59
BR-MG,Minas Gerais,12,2006,32
BR-PA,Para,1,2006,403
BR-PA,Para,2,2006,49
BR-PA,Para,3,2006,10
BR-PA,Para,4,2006,2
BR-PA,Para,5,2006,0
BR-PA,Para,6,2006,78
BR-PA,Para,7,2006,615
BR-PA,Para,8,2006,7575
BR-PA,Para,9,2006,8372
BR-PA,Para,10,2006,5964
BR-PA,Para,11,2006,2883
BR-PA,Para,12,2006,1417
BR-PB,Paraiba,1,2006,83
BR-PB,Paraiba,2,2006,7
BR-PB,Paraiba,3,2006,4
BR-PB,Paraiba,4,2006,0
BR-PB,Paraiba,5,2006,0
BR-PB,Paraiba,6,2006,0
BR-PB,Paraiba,7,2006,1
BR-PB,Paraiba,8,2006,3
BR-PB,Paraiba,9,2006,27
BR-PB,Paraiba,10,2006,135
BR-PB,Paraiba,11,2006,215
BR-PB,Paraiba,12,2006,196
BR-PR,Parana,1,2006,78
BR-PR,Parana,2,2006,60
BR-PR,Parana,3,2006,56
BR-PR,Parana,4,2006,49
BR-PR,Parana,5,2006,90
BR-PR,Parana,6,2006,62
BR-PR,Parana,7,2006,139
BR-PR,Parana,8,2006,844
BR-PR,Parana,9,2006,866
BR-PR,Parana,10,2006,327
BR-PR,Parana,11,2006,60
BR-PR,Parana,12,2006,6
BR-PE,Pernambuco,1,2006,148
BR-PE,Pernambuco,2,2006,41
BR-PE,Pernambuco,3,2006,18
BR-PE,Pernambuco,4,2006,2
BR-PE,Pernambuco,5,2006,1
BR-PE,Pernambuco,6,2006,0
BR-PE,Pernambuco,7,2006,1
BR-PE,Pernambuco,8,2006,8
BR-PE,Pernambuco,9,2006,147
BR-PE,Pernambuco,10,2006,310
BR-PE,Pernambuco,11,2006,385
BR-PE,Pernambuco,12,2006,207
BR-PI,Piaui,1,2006,133
BR-PI,Piaui,2,2006,23
BR-PI,Piaui,3,2006,18
BR-PI,Piaui,4,2006,1
BR-PI,Piaui,5,2006,0
BR-PI,Piaui,6,2006,40
BR-PI,Piaui,7,2006,150
BR-PI,Piaui,8,2006,911
BR-PI,Piaui,9,2006,1618
BR-PI,Piaui,10,2006,1443
BR-PI,Piaui,11,2006,740
BR-PI,Piaui,12,2006,339
BR-RJ,Rio de Janeiro,1,2006,12
BR-RJ,Rio de Janeiro,2,2006,7
BR-RJ,Rio de Janeiro,3,2006,8
BR-RJ,Rio de Janeiro,4,2006,8
BR-RJ,Rio de Janeiro,5,2006,4
BR-RJ,Rio de Janeiro,6,2006,19
BR-RJ,Rio de Janeiro,7,2006,54
BR-RJ,Rio de Janeiro,8,2006,79
BR-RJ,Rio de Janeiro,9,2006,197
BR-RJ,Rio de Janeiro,10,2006,12
BR-RJ,Rio de Janeiro,11,2006,1
BR-RJ,Rio de Janeiro,12,2006,0
BR-RN,Rio Grande do Norte,1,2006,93
BR-RN,Rio Grande do Norte,2,2006,21
BR-RN,Rio Grande do Norte,3,2006,8
BR-RN,Rio Grande do Norte,4,2006,2
BR-RN,Rio Grande do Norte,5,2006,0
BR-RN,Rio Grande do Norte,6,2006,0
BR-RN,Rio Grande do Norte,7,2006,0
BR-RN,Rio Grande do Norte,8,2006,13
BR-RN,Rio Grande do Norte,9,2006,50
BR-RN,Rio Grande do Norte,10,2006,85
BR-RN,Rio Grande do Norte,11,2006,148
BR-RN,Rio Grande do Norte,12,2006,101
BR-RS,Rio Grande do Sul,1,2006,46
BR-RS,Rio Grande do Sul,2,2006,34
BR-RS,Rio Grande do Sul,3,2006,76
BR-RS,Rio Grande do Sul,4,2006,59
BR-RS,Rio Grande do Sul,5,2006,24
BR-RS,Rio Grande do Sul,6,2006,7
BR-RS,Rio Grande do Sul,7,2006,45
BR-RS,Rio Grande do Sul,8,2006,642
BR-RS,Rio Grande do Sul,9,2006,444
BR-RS,Rio Grande do Sul,10,2006,160
BR-RS,Rio Grande do Sul,11,2006,27
BR-RS,Rio Grande do Sul,12,2006,15
BR-RO,Rondonia,1,2006,16
BR-RO,Rondonia,2,2006,17
BR-RO,Rondonia,3,2006,15
BR-RO,Rondonia,4,2006,0
BR-RO,Rondonia,5,2006,7
BR-RO,Rondonia,6,2006,40
BR-RO,Rondonia,7,2006,314
BR-RO,Rondonia,8,2006,3124
BR-RO,Rondonia,9,2006,992
BR-RO,Rondonia,10,2006,1148
BR-RO,Rondonia,11,2006,253
BR-RO,Rondonia,12,2006,4
BR-RR,Roraima,1,2006,70
BR-RR,Roraima,2,2006,283
BR-RR,Roraima,3,2006,385
BR-RR,Roraima,4,2006,201
BR-RR,Roraima,5,2006,0
BR-RR,Roraima,6,2006,0
BR-RR,Roraima,7,2006,0
BR-RR,Roraima,8,2006,4
BR-RR,Roraima,9,2006,40
BR-RR,Roraima,10,2006,135
BR-RR,Roraima,11,2006,26
BR-RR,Roraima,12,2006,101
BR-SC,Santa Catarina,1,2006,41
BR-SC,Santa Catarina,2,2006,18
BR-SC,Santa Catarina,3,2006,48
BR-SC,Santa Catarina,4,2006,30
BR-SC,Santa Catarina,5,2006,33
BR-SC,Santa Catarina,6,2006,32
BR-SC,Santa Catarina,7,2006,74
BR-SC,Santa Catarina,8,2006,728
BR-SC,Santa Catarina,9,2006,530
BR-SC,Santa Catarina,10,2006,269
BR-SC,Santa Catarina,11,2006,45
BR-SC,Santa Catarina,12,2006,7
BR-SP,Sao Paulo,1,2006,76
BR-SP,Sao Paulo,2,2006,59
BR-SP,Sao Paulo,3,2006,106
BR-SP,Sao Paulo,4,2006,63
BR-SP,Sao Paulo,5,2006,88
BR-SP,Sao Paulo,6,2006,97
BR-SP,Sao Paulo,7,2006,245
BR-SP,Sao Paulo,8,2006,572
BR-SP,Sao Paulo,9,2006,694
BR-SP,Sao Paulo,10,2006,153
BR-SP,Sao Paulo,11,2006,43
BR-SP,Sao Paulo,12,2006,13
BR-SE,Sergipe,1,2006,36
BR-SE,Sergipe,2,2006,36
BR-SE,Sergipe,3,2006,41
BR-SE,Sergipe,4,2006,9
BR-SE,Sergipe,5,2006,0
BR-SE,Sergipe,6,2006,0
BR-SE,Sergipe,7,2006,0
BR-SE,Sergipe,8,2006,0
BR-SE,Sergipe,9,2006,0
BR-SE,Sergipe,10,2006,3
BR-SE,Sergipe,11,2006,5
BR-SE,Sergipe,12,2006,17
BR-TO,Tocantins,1,2006,91
BR-TO,Tocantins,2,2006,14
BR-TO,Tocantins,3,2006,11
BR-TO,Tocantins,4,2006,4
BR-TO,Tocantins,5,2006,35
BR-TO,Tocantins,6,2006,289
BR-TO,Tocantins,7,2006,430
BR-TO,Tocantins,8,2006,1277
BR-TO,Tocantins,9,2006,2979
BR-TO,Tocantins,10,2006,1176
BR-TO,Tocantins,11,2006,108
BR-TO,Tocantins,12,2006,15
BR-AC,Acre,1,2007,0
BR-AC,Acre,2,2007,5
BR-AC,Acre,3,2007,2
BR-AC,Acre,4,2007,0
BR-AC,Acre,5,2007,1
BR-AC,Acre,6,2007,4
BR-AC,Acre,7,2007,29
BR-AC,Acre,8,2007,960
BR-AC,Acre,9,2007,208
BR-AC,Acre,10,2007,203
BR-AC,Acre,11,2007,7
BR-AC,Acre,12,2007,0
BR-AL,Alagoas,1,2007,33
BR-AL,Alagoas,2,2007,28
BR-AL,Alagoas,3,2007,7
BR-AL,Alagoas,4,2007,1
BR-AL,Alagoas,5,2007,0
BR-AL,Alagoas,6,2007,0
BR-AL,Alagoas,7,2007,0
BR-AL,Alagoas,8,2007,3
BR-AL,Alagoas,9,2007,2
BR-AL,Alagoas,10,2007,6
BR-AL,Alagoas,11,2007,15
BR-AL,Alagoas,12,2007,33
BR-AP,Amapa,1,2007,0
BR-AP,Amapa,2,2007,0
BR-AP,Amapa,3,2007,0
BR-AP,Amapa,4,2007,0
BR-AP,Amapa,5,2007,0
BR-AP,Amapa,6,2007,0
BR-AP,Amapa,7,2007,0
BR-AP,Amapa,8,2007,5
BR-AP,Amapa,9,2007,61
BR-AP,Amapa,10,2007,162
BR-AP,Amapa,11,2007,198
BR-AP,Amapa,12,2007,14
BR-AM,Amazonas,1,2007,37
BR-AM,Amazonas,2,2007,92
BR-AM,Amazonas,3,2007,6
BR-AM,Amazonas,4,2007,0
BR-AM,Amazonas,5,2007,0
BR-AM,Amazonas,6,2007,23
BR-AM,Amazonas,7,2007,116
BR-AM,Amazonas,8,2007,2241
BR-AM,Amazonas,9,2007,136
BR-AM,Amazonas,10,2007,215
BR-AM,Amazonas,11,2007,90
BR-AM,Amazonas,12,2007,7
BR-BA,Bahia,1,2007,373
BR-BA,Bahia,2,2007,113
BR-BA,Bahia,3,2007,141
BR-BA,Bahia,4,2007,64
BR-BA,Bahia,5,2007,161
BR-BA,Bahia,6,2007,270
BR-BA,Bahia,7,2007,811
BR-BA,Bahia,8,2007,3734
BR-BA,Bahia,9,2007,7438
BR-BA,Bahia,10,2007,4981
BR-BA,Bahia,11,2007,2126
BR-BA,Bahia,12,2007,259
BR-CE,Ceara,1,2007,304
BR-CE,Ceara,2,2007,3
BR-CE,Ceara,3,2007,2
BR-CE,Ceara,4,2007,1
BR-CE,Ceara,5,2007,0
BR-CE,Ceara,6,2007,1
BR-CE,Ceara,7,2007,11
BR-CE,Ceara,8,2007,182
BR-CE,Ceara,9,2007,241
BR-CE,Ceara,10,2007,964
BR-CE,Ceara,11,2007,1443
BR-CE,Ceara,12,2007,1177
BR-DF,Distrito Federal,1,2007,0
BR-DF,Distrito Federal,2,2007,0
BR-DF,Distrito Federal,3,2007,1
BR-DF,Distrito Federal,4,2007,0
BR-DF,Distrito Federal,5,2007,4
BR-DF,Distrito Federal,6,2007,21
BR-DF,Distrito Federal,7,2007,25
BR-DF,Distrito Federal,8,2007,137
BR-DF,Distrito Federal,9,2007,73
BR-DF,Distrito Federal,10,2007,13
BR-DF,Distrito Federal,11,2007,0
BR-DF,Distrito Federal,12,2007,0
BR-ES,Espirito Santo,1,2007,0
BR-ES,Espirito Santo,2,2007,3
BR-ES,Espirito Santo,3,2007,9
BR-ES,Espirito Santo,4,2007,2
BR-ES,Espirito Santo,5,2007,1
BR-ES,Espirito Santo,6,2007,4
BR-ES,Espirito Santo,7,2007,13
BR-ES,Espirito Santo,8,2007,82
BR-ES,Espirito Santo,9,2007,63
BR-ES,Espirito Santo,10,2007,79
BR-ES,Espirito Santo,11,2007,112
BR-ES,Espirito Santo,12,2007,14
BR-GO,Goias,1,2007,28
BR-GO,Goias,2,2007,13
BR-GO,Goias,3,2007,49
BR-GO,Goias,4,2007,17
BR-GO,Goias,5,2007,94
BR-GO,Goias,6,2007,186
BR-GO,Goias,7,2007,399
BR-GO,Goias,8,2007,2382
BR-GO,Goias,9,2007,3745
BR-GO,Goias,10,2007,1195
BR-GO,Goias,11,2007,79
BR-GO,Goias,12,2007,16
BR-MA,Maranhao,1,2007,428
BR-MA,Maranhao,2,2007,13
BR-MA,Maranhao,3,2007,52
BR-MA,Maranhao,4,2007,5
BR-MA,Maranhao,5,2007,73
BR-MA,Maranhao,6,2007,515
BR-MA,Maranhao,7,2007,1205
BR-MA,Maranhao,8,2007,8409
BR-MA,Maranhao,9,2007,8524
BR-MA,Maranhao,10,2007,4772
BR-MA,Maranhao,11,2007,2297
BR-MA,Maranhao,12,2007,800
BR-MT,Mato Grosso,1,2007,476
BR-MT,Mato Grosso,2,2007,213
BR-MT,Mato Grosso,3,2007,476
BR-MT,Mato Grosso,4,2007,79
BR-MT,Mato Grosso,5,2007,359
BR-MT,Mato Grosso,6,2007,1339
BR-MT,Mato Grosso,7,2007,179
BR-MT,Mato Grosso,8,2007,14453
BR-MT,Mato Grosso,9,2007,25963
BR-MT,Mato Grosso,10,2007,489
BR-MT,Mato Grosso,11,2007,299
BR-MT,Mato Grosso,12,2007,81
BR-MS,Mato Grosso do Sul,1,2007,19
BR-MS,Mato Grosso do Sul,2,2007,111
BR-MS,Mato Grosso do Sul,3,2007,137
BR-MS,Mato Grosso do Sul,4,2007,46
BR-MS,Mato Grosso do Sul,5,2007,62
BR-MS,Mato Grosso do Sul,6,2007,141
BR-MS,Mato Grosso do Sul,7,2007,197
BR-MS,Mato Grosso do Sul,8,2007,1823
BR-MS,Mato Grosso do Sul,9,2007,4446
BR-MS,Mato Grosso do Sul,10,2007,668
BR-MS,Mato Grosso do Sul,11,2007,82
BR-MS,Mato Grosso do Sul,12,2007,15
BR-MG,Minas Gerais,1,2007,91
BR-MG,Minas Gerais,2,2007,71
BR-MG,Minas Gerais,3,2007,155
BR-MG,Minas Gerais,4,2007,35
BR-MG,Minas Gerais,5,2007,124
BR-MG,Minas Gerais,6,2007,184
BR-MG,Minas Gerais,7,2007,446
BR-MG,Minas Gerais,8,2007,2975
BR-MG,Minas Gerais,9,2007,5088
BR-MG,Minas Gerais,10,2007,3467
BR-MG,Minas Gerais,11,2007,1305
BR-MG,Minas Gerais,12,2007,95
BR-PA,Para,1,2007,467
BR-PA,Para,2,2007,23
BR-PA,Para,3,2007,6
BR-PA,Para,4,2007,0
BR-PA,Para,5,2007,9
BR-PA,Para,6,2007,129
BR-PA,Para,7,2007,476
BR-PA,Para,8,2007,14352
BR-PA,Para,9,2007,1459
BR-PA,Para,10,2007,2504
BR-PA,Para,11,2007,289
BR-PA,Para,12,2007,689
BR-PB,Paraiba,1,2007,69
BR-PB,Paraiba,2,2007,7
BR-PB,Paraiba,3,2007,1
BR-PB,Paraiba,4,2007,0
BR-PB,Paraiba,5,2007,0
BR-PB,Paraiba,6,2007,0
BR-PB,Paraiba,7,2007,1
BR-PB,Paraiba,8,2007,8
BR-PB,Paraiba,9,2007,22
BR-PB,Paraiba,10,2007,111
BR-PB,Paraiba,11,2007,256
BR-PB,Paraiba,12,2007,133
BR-PR,Parana,1,2007,11
BR-PR,Parana,2,2007,32
BR-PR,Parana,3,2007,54
BR-PR,Parana,4,2007,14
BR-PR,Parana,5,2007,14
BR-PR,Parana,6,2007,57
BR-PR,Parana,7,2007,60
BR-PR,Parana,8,2007,580
BR-PR,Parana,9,2007,960
BR-PR,Parana,10,2007,194
BR-PR,Parana,11,2007,59
